id,northing,easting,elevation
6758_C,13953129.58,1244836.596,570.502
6759_C,13953131.12,1244827.415,570.434
6760_C,13953132.74,1244818.109,570.387
6761_C,13953134.44,1244808.676,570.321
6762_C,13953136.18,1244799.14,570.222
6763_C,13953137.99,1244789.453,570.211
6764_C,13953139.85,1244779.66,570.16
6765_C,13953140.82,1244774.752,570.078
6766_C,13953141.79,1244769.809,570.118
6767_C,13953142.79,1244764.865,570.061
6768_C,13953143.81,1244759.887,570.049
6769_C,13953144.81,1244754.895,570.026
6770_C,13953145.86,1244749.894,570.006
6771_C,13953146.9,1244744.905,569.972
6772_C,13953147.94,1244739.917,569.953
6773_C,13953149.01,1244734.933,569.896
6774_C,13953150.06,1244729.974,569.91
6775_C,13953151.16,1244725.018,569.836
6776_C,13953152.25,1244720.09,569.805
6777_C,13953153.35,1244715.188,569.796
6778_C,13953154.45,1244710.267,569.797
6779_C,13953155.59,1244705.377,569.757
6780_C,13953156.71,1244700.5,569.718
6781_C,13953157.85,1244695.618,569.657
6782_C,13953159,1244690.736,569.663
6783_C,13953160.19,1244685.85,569.644
6784_C,13953161.38,1244680.916,569.585
6785_C,13953162.56,1244675.989,569.58
6786_C,13953163.77,1244671.029,569.543
6787_C,13953165.04,1244666.05,569.514
6788_C,13953166.29,1244661.029,569.49
6789_C,13953167.54,1244655.996,569.444
6790_C,13953168.84,1244650.929,569.41
6791_C,13953170.16,1244645.861,569.368
6792_C,13953171.47,1244640.77,569.339
6793_C,13953172.81,1244635.659,569.347
6794_C,13953174.18,1244630.521,569.279
6795_C,13953175.57,1244625.389,569.293
6796_C,13953176.97,1244620.234,569.244
6797_C,13953178.38,1244615.084,569.238
6798_C,13953179.84,1244609.939,569.212
6799_C,13953181.29,1244604.76,569.193
6800_C,13953182.75,1244599.573,569.126
6801_C,13953184.22,1244594.408,569.107
6802_C,13953185.71,1244589.231,569.089
6803_C,13953187.18,1244584.041,569.025
6804_C,13953188.73,1244578.865,569.027
6805_C,13953190.25,1244573.7,569.026
6806_C,13953191.81,1244568.518,568.994
6807_C,13953193.37,1244563.376,568.955
6808_C,13953194.94,1244558.243,568.895
6809_C,13953196.49,1244553.125,568.875
6810_C,13953198.05,1244547.991,568.854
6811_C,13953199.64,1244542.919,568.795
6812_C,13953201.22,1244537.857,568.78
6813_C,13953202.82,1244532.772,568.784
6814_C,13953204.41,1244527.7,568.728
6815_C,13953206.04,1244522.644,568.678
6816_C,13953207.69,1244517.62,568.692
6817_C,13953209.35,1244512.607,568.669
6818_C,13953210.95,1244507.609,568.628
6819_C,13953212.63,1244502.624,568.576
6820_C,13953214.26,1244497.665,568.531
6821_C,13953215.92,1244492.692,568.542
6822_C,13953217.6,1244487.761,568.473
6823_C,13953219.28,1244482.801,568.466
6824_C,13953220.99,1244477.916,568.452
6825_C,13953222.68,1244473.022,568.363
6826_C,13953224.42,1244468.141,568.378
6827_C,13953226.1,1244463.233,568.393
6828_C,13953227.85,1244458.422,568.322
6829_C,13953229.55,1244453.558,568.305
6830_C,13953231.29,1244448.725,568.265
6831_C,13953233.04,1244443.925,568.253
6832_C,13953234.78,1244439.117,568.211
6833_C,13953236.55,1244434.328,568.201
6834_C,13953238.3,1244429.561,568.163
6835_C,13953240.04,1244424.799,568.151
6836_C,13953241.84,1244420.07,568.093
6837_C,13953243.59,1244415.347,568.107
6838_C,13953245.39,1244410.625,568.093
6839_C,13953247.2,1244405.942,567.986
6840_C,13953249.02,1244401.269,568.007
6841_C,13953250.79,1244396.581,568.044
6842_C,13953252.63,1244391.932,568.005
6843_C,13953256.22,1244382.691,568.005
6844_C,13953259.9,1244373.491,567.877
6845_C,13953263.6,1244364.391,567.906
6846_C,13953267.35,1244355.305,567.813
6847_C,13953271.06,1244346.304,567.77
6848_C,13953274.77,1244337.352,567.779
6849_C,13953278.51,1244328.435,567.738
6850_C,13953282.31,1244319.636,567.703
6851_C,13953284.69,1244314.137,567.664
6852_C,13953287.99,1244306.477,567.639
6853_C,13953291.85,1244297.773,567.654
6854_C,13953294.29,1244292.347,567.604
6855_C,13953297.68,1244284.748,567.538
